Country,year,migrants ,,,
China,2000,508034,,,
China,2005,678947,,,
China,2010,849861,,,
China,2015,978046,,,
China,2019,1030871,,,
India,2000,6411331,,,
India,2005,5923945,,,
India,2010,5439758,,,
India,2015,5240960,,,
India,2019,5154737,,,
United States,2000,34814053,,,
United States,2005,39258293,,,
United States,2010,44183643,,,
United States,2015,48178877,,,
United States,2019,50661149,,,
Indonesia,2000,292307,,,
Indonesia,2005,289568,,,
Indonesia,2010,305416,,,
Indonesia,2015,338124,,,
Indonesia,2019,353135,,,
Pakistan,2000,4181912,,,
Pakistan,2005,3171132,,,
Pakistan,2010,3941586,,,
Pakistan,2015,3506520,,,
Pakistan,2019,3257978,,,
Brazil,2000,684596,,,
Brazil,2005,638582,,,
Brazil,2010,592568,,,
Brazil,2015,716568,,,
Brazil,2019,807006,,,
Nigeria,2000,487882,,,
Nigeria,2005,969294,,,
Nigeria,2010,988679,,,
Nigeria,2015,1199115,,,
Nigeria,2019,1256408,,,
Bangladesh,2000,987853,,,
Bangladesh,2005,1166700,,,
Bangladesh,2010,1345546,,,
Bangladesh,2015,1422805,,,
Bangladesh,2019,2185613,,,
Russia,2000,11900297,,,
Russia,2005,11667588,,,
Russia,2010,11194710,,,
Russia,2015,11643276,,,
Russia,2019,11640559,,,
Mexico,2000,538051,,,
Mexico,2005,712487,,,
Mexico,2010,969538,,,
Mexico,2015,1028803,,,
Mexico,2019,1060707,,,
Japan,2000,1686444,,,
Japan,2005,2011555,,,
Japan,2010,2134151,,,
Japan,2015,2232189,,,
Japan,2019,2498891,,,
Ethiopia,2000,611384,,,
Ethiopia,2005,514242,,,
Ethiopia,2010,568748,,,
Ethiopia,2015,1161642,,,
Ethiopia,2019,1253083,,,
Philippines,2000,318095,,,
Philippines,2005,257468,,,
Philippines,2010,208599,,,
Philippines,2015,211862,,,
Philippines,2019,218530,,,
Egypt,2000,184774,,,
Egypt,2005,285006,,,
Egypt,2010,310017,,,
Egypt,2015,353641,,,
Egypt,2019,504053,,,
Vietnam,2000,56754,,,
Vietnam,2005,51768,,,
Vietnam,2010,61756,,,
Vietnam,2015,72793,,,
Vietnam,2019,76104,,,
Turkey,2000,1280963,,,
Turkey,2005,1319236,,,
Turkey,2010,1367034,,,
Turkey,2015,4346197,,,
Turkey,2019,5876829,,,
Iran,2000,2803805,,,
Iran,2005,2568930,,,
Iran,2010,2761561,,,
Iran,2015,2726420,,,
Iran,2019,2682214,,,
Germany,2000,8992631,,,
Germany,2005,9402447,,,
Germany,2010,9812263,,,
Germany,2015,10220418,,,
Germany,2019,13132146,,,
Thailand,2000,1257821,,,
Thailand,2005,2163447,,,
Thailand,2010,3224131,,,
Thailand,2015,3486526,,,
Thailand,2019,3635085,,,
United Kingdom,2000,4730165,,,
United Kingdom,2005,5926156,,,
United Kingdom,2010,7119664,,,
United Kingdom,2015,8411569,,,
United Kingdom,2019,9552110,,,
France,2000,6278718,,,
France,2005,6737600,,,
France,2010,7309986,,,
France,2015,7874172,,,
France,2019,8334875,,,
Italy,2000,2121688,,,
Italy,2005,3954790,,,
Italy,2010,5787893,,,
Italy,2015,5805328,,,
Italy,2019,6273722,,,
South Africa,2000,1016963,,,
South Africa,2005,1351031,,,
South Africa,2010,2114801,,,
South Africa,2015,3816695,,,
South Africa,2019,4224256,,,
Myanmar,2000,98011,,,
Myanmar,2005,83025,,,
Myanmar,2010,76414,,,
Myanmar,2015,73309,,,
Myanmar,2019,75998,,,
Kenya,2000,707852,,,
Kenya,2005,773354,,,
Kenya,2010,954925,,,
Kenya,2015,1126886,,,
Kenya,2019,1044854,,,
South Korea,2000,244224,,,
South Korea,2005,486065,,,
