Country,Population (2020),Yearly Change,Net Change,Density (P/Km?ý),Land Area (Km?ý),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,latitude,longitude,links,Currency,Capital City,Official Language,popup_text,,
Afghanistan,39074280,2.33%,886592,60,652860,-62920,4.6,18,25%,0.50%,33.93911,67.709953,https://en.wikipedia.org/wiki/Afghanistan,Afghani (??????) (AFN),Kabul,Pashto & Dari,"<center></br><b>Afghanistan</b></br><b>Population(2020): 39,074,280</br><b>Capital City: Kabul</br><b>Official language: Pashto & Dari</br><b>Currency: Afghani (??????) (AFN)</br><a href='https://en.wikipedia.org/wiki/Afghanistan' target='_blank'>More info...</a></center>",,
Argentina,45267449,0.93%,415097,17,2736690,4800,2.3,32,93%,0.58%,-38.416097,-63.616672,https://en.wikipedia.org/wiki/Argentina,Argentine peso ($) (ARS),Buenos Aires,Spanish,"<center></br><b>Argentina</b></br><b>Population(2020): 45,267,449</br><b>Capital City: Buenos Aires</br><b>Official language: Spanish</br><b>Currency: Argentine peso ($) (ARS)</br><a href='https://en.wikipedia.org/wiki/Argentina' target='_blank'>More info...</a></center>",,
Australia,25550683,1.18%,296686,3,7682300,158246,1.8,38,86%,0.33%,-25.274398,133.775136,https://en.wikipedia.org/wiki/Australia,Australian dollar ($) (AUD),Canberra,English,"<center></br><b>Australia</b></br><b>Population(2020): 25,550,683</br><b>Capital City: Canberra</br><b>Official language: English</br><b>Currency: Australian dollar ($) (AUD)</br><a href='https://en.wikipedia.org/wiki/Australia' target='_blank'>More info...</a></center>",,
Bangladesh,164972348,1.01%,1643222,1265,130170,-369501,2.1,28,39%,2.11%,23.684994,90.356331,https://en.wikipedia.org/wiki/Bangladesh,Taka (?) (BDT),Dhaka,Bengalis,"<center></br><b>Bangladesh</b></br><b>Population(2020): 164,972,348</br><b>Capital City: Dhaka</br><b>Official language: Bengalis</br><b>Currency: Taka (?) (BDT)",</br><a href='https://en.wikipedia.org/wiki/Bangladesh' target='_blank'>More info...</a></center>,
Brazil,212821986,0.72%,1509890,25,8358140,21200,1.7,33,88%,2.73%,-14.235004,-51.92528,https://en.wikipedia.org/wiki/Brazil,Real (R$) (BRL),Brasília,Portuguese,"<center></br><b>Brazil</b></br><b>Population(2020): 212,821,986</br><b>Capital City: Brasília</br><b>Official language: Portuguese</br><b>Currency: Real (R$) (BRL)</br><a href='https://en.wikipedia.org/wiki/Brazil' target='_blank'>More info...</a></center>",,
Canada,37799407,0.89%,331107,4,9093510,242032,1.5,41,81%,0.48%,56.130366,-106.346771,https://en.wikipedia.org/wiki/Canada,Canadian dollar ($) (CAD),Ottawa,English & French,"<center></br><b>Canada</b></br><b>Population(2020): 37,799,407</br><b>Capital City: Ottawa</br><b>Official language: English & French</br><b>Currency: Canadian dollar ($) (CAD)</br><a href='https://en.wikipedia.org/wiki/Canada' target='_blank'>More info...</a></center>",,
China,1440297825,0.39%,5540090,153,9388211,-348399,1.7,38,61%,18.47%,35.86166,104.195397,https://en.wikipedia.org/wiki/China,Renminbi (?/¥) (CNY),Beijing,Standard Chinese,"<center></br><b>China</b></br><b>Population(2020): 1,440,297,825</br><b>Capital City: Beijing</br><b>Official language: Standard Chinese</br><b>Currency: Renminbi (?/¥) (CNY)</br><a href='https://en.wikipedia.org/wiki/China",' target='_blank'>More info...</a></center>,
Colombia,50976248,1.08%,543448,46,1109500,204796,1.8,31,80%,0.65%,4.570868,-74.297333,https://en.wikipedia.org/wiki/Colombia,Colombian peso (COP),Bogotá,Spanish,"<center></br><b>Colombia</b></br><b>Population(2020): 50,976,248</br><b>Capital City: Bogotá</br><b>Official language: Spanish</br><b>Currency: Colombian peso (COP)</br><a href='https://en.wikipedia.org/wiki/Colombia' target='_blank'>More info...</a></center>",,
Egypt,102659126,1.94%,1946331,103,995450,-38033,3.3,25,43%,1.31%,26.820553,30.802498,https://en.wikipedia.org/wiki/Egypt,Egyptian pound (E£) (EGP),Cairo,Arabic,"<center></br><b>Egypt</b></br><b>Population(2020): 102,659,126</br><b>Capital City: Cairo</br><b>Official language: Arabic</br><b>Currency: Egyptian pound (E£) (EGP)</br><a href='https://en.wikipedia.org/wiki/Egypt' target='_blank'>More info...</a></center>",,
Ethiopia,115434444,2.57%,2884858,115,1000000,30000,4.3,19,21%,1.47%,9.145,40.489673,https://en.wikipedia.org/wiki/Ethiopia,Birr (ETB),Addis Ababa,"Afar, Amharic, Oromo, Somali & Tigrinya","<center></br><b>Ethiopia</b></br><b>Population(2020): 115,434,444</br><b>Capital City: Addis Ababa</br><b>Official language: Afar, Amharic, Oromo, Somali & Tigrinya</br><b>Currency: Birr (ETB)</br><a href='https://en.wikipedia.org/wiki/Ethiopia' target='_blank'>More info...</a></center>",,
